"term","count","size"
"breast cancer",194609,2
"ih anuscript",27840,2
"cancer res",20241,2
"anuscript ih",18955,2
"cancer cells",16418,2
"cancer patients",16255,2
"mda mb",13084,2
"cell lines",12653,2
"gene expression",11851,2
"http www",10806,2
"lymph node",10474,2
"cancer cell",10296,2
"clin oncol",9673,2
"cancer research",9606,2
"human breast",9299,2
"cancer risk",8906,2
"growth factor",8794,2
"tumor cells",8727,2
"breast cancers",8630,2
"estrogen receptor",7892,2
"cancer screening",7746,2
"triple negative",7651,2
"negative breast",7438,2
"mcf cells",7267,2
"er pr",6413,2
"free survival",6366,2
"res treat",6092,2
"breast carcinoma",5986,2
"biomedcentral com",5754,2
"www biomedcentral",5752,2
"bmc cancer",5663,2
"cell line",5643,2
"positive breast",5302,2
"ductal carcinoma",5250,2
"overall survival",5226,2
"metastatic breast",5157,2
"mb cells",5141,2
"cd cd",5138,2
"invasive breast",5089,2
