"pmcid","pmid","date_published","title"
"PMC5834809","29345736","20180222","Palbociclib in combination with letrozole as first‐line treatment for advanced"
"PMC5839868","29443748","20180216","Ultrasound combined with fine needle aspiration cytology for the assessment of"
"PMC5810980","29438405","20180213","Multiplatform plasma metabolic and lipid fingerprinting of breast cancer: A pilot"
"PMC5805287","29420578","20180208","Evolutionary Wavelet Neural Network ensembles for breast cancer and Parkinson’s"
"PMC5784895","29370209","20180125","Evaluation of drug mechanism and efficacy of a novel anti-angiogenic agent,"
"PMC5770054","29338058","20180116","Menstrual and reproductive factors and risk of breast cancer: A case-control"
"PMC5816103","29327245","20180111","High nuclear MSK1 is associated with longer survival in breast cancer patients."
"PMC5764434","29324832","20180111","Differential microRNA expression in breast cancer with different onset age."
"PMC5755747","29304140","20180105","Long term effects of manual lymphatic drainage and active exercises on physical"
"PMC5755729","29304138","20180105","The use of automated Ki67 analysis to predict Oncotype DX risk-of-recurrence"
"PMC5834810","29215763","20171230","Breast cancer: The translation of big genomic data to cancer precision medicine."
"PMC5746234","29284000","20171228","Oestrogen receptor negative early operable primary breast cancer in older"
"PMC5758242","29390540","20171222","Ki-67 labeling index is a predictive marker for a pathological complete response "
"PMC5738061","29261724","20171220","Incidence of inflammatory breast cancer in patients with clinical inflammatory"
"PMC5737960","29261702","20171220","Combination of palbociclib with enzalutamide shows in vitro activity in RB"
"PMC5815817","29390405","20171215","Comparison of outcomes of surgeon-performed intraoperative ultrasonography-guided"
"PMC5815705","29390293","20171215","Prognostic utility of FDG PET/CT and bone scintigraphy in breast cancer patients "
"PMC5731757","29244827","20171215","Neuroligin 4X overexpression in human breast cancer is associated with poor"
"PMC5737231","29238033","20171214","Dermatopathic Lymphadenitis Mimicking Breast Cancer with Lymphatic Metastasis: A "
"PMC5728894","29245279","20171208","Mitral regurgitation after anthracycline-based chemotherapy in an adult patient"
"PMC5728863","29245248","20171208","Association between serum cytokines and progression of breast cancer in Chinese"
"PMC5720724","29216259","20171207","The prognostic impact of the platelet distribution width-to-platelet count ratio "
"PMC5718505","29211792","20171206","The prognostic role of tumor size in early breast cancer in the era of molecular "
"PMC5733385","29117576","","The utility of anti-Müllerian hormone in the diagnosis and prediction of loss of "
"PMC5728780","29310379","20171201","Male breast cancer and mantle cell lymphoma in a single patient: A case report"
"PMC5706725","29186208","20171129","Cytotoxic effect of albumin coated copper nanoparticle on human breast cancer"
"PMC5708960","29381961","20171127","Rare metastasis to paranasal sinuses from triple-negative breast cancer: A case"
"PMC5754401","29170810","20171123","Correlation study between osteoporosis and hematopoiesis in the context of"
"PMC5695816","29155879","20171120","Subtypes of breast cancer show different spatial distributions of brain"
"PMC5704850","29145305","20171117","Prognostic significance of metabolic enzyme pyruvate kinase M2 in breast cancer: "
"PMC5704795","29145250","20171117","CONSORT-Independent prognostic value of asphericity of pretherapeutic F-18 FDG"
"PMC5687766","29141042","20171115","A tissue microRNA signature that predicts the prognosis of breast cancer in young"
"PMC5685588","29136040","20171114","Morphological adaptations in breast cancer cells as a function of prolonged"
"PMC5727322","29131533","20171113","A phase I/II pharmacokinetics/pharmacodynamics study of irinotecan combined with "
"PMC5690765","29137072","20171110","Volume-based metabolic parameter of breast cancer on preoperative 18F-FDG PET/CT "
"PMC5690700","29137007","20171110","Prognostic role of pretreatment neutrophil to lymphocyte ratio in breast cancer"
"PMC5680801","29121898","20171109","Clinicopathologic and prognostic features of breast cancer in young women: a"
"PMC5680747","29121911","20171109","Immunohistochemical staining of leptin is associated with grade, stage, lymph"
"PMC5794829","29116378","20171107","Preferential expression of NY-BR-1 and GATA-3 in male breast cancer."
"PMC5674849","29112189","20171107","Quantification of sensitivity and resistance of breast cancer cell lines to"
"PMC5682818","29095299","20171103","Rehabilitation for a patient with anti-Yo antibody-positive paraneoplastic"
